Time,Pos/Disp.
0,0
3.53,3
6.58,6
9.9,9
11.6,12
13.28,15
15.3,18
16.91,21
17.95,24
18.8,27
19.52,30
19.9,33
20.22,36
20.82,39
21.95,42
23.81,45
21.77,48
22.68,51
22.45,54
22.68,57
23.36,60
23.8,63
