Time,Pos/Disp.
0,0
0.98,3
1.47,6
1.92,9
2.21,12
2.58,15
3.5,18
4,21
4.31,24
4.86,27
4.9,30
5.6,33
5.8,36
6.31,39
6.9,42
7.3,45
7.6,48
8.26,51
8.3,54
8.93,57
9.44,60
9.55,63
