Time,Pos/Disp.
0,0
1.8,3
2.93,6
4.41,9
5.35,12
6.57,15
8.03,18
10,21
11,24
12.24,27
13.52,30
33.46,30
34.3,27
35.18,24
35.48,21
0,18
0,15
38.06,12
38.39,9
39.2,6
40.73,3
40.56,0
